ID,Category
10329506,BANKING
30713796,BANKING
3547447,BANKING
11773925,BANKING
16407619,BANKING
29552167,BANKING
33872500,BANKING
18369400,BANKING
17131084,BANKING
12021752,BANKING
34185495,BANKING
29093426,BANKING
64589506,BANKING
13982572,BANKING
21756639,BANKING
96493528,BANKING
31025785,BANKING
36905896,BANKING
25080805,BANKING
11637468,BANKING
21856577,BANKING
35483925,BANKING
21645690,BANKING
35564026,BANKING
21796843,BANKING
73157997,BANKING
39247950,BANKING
11842348,BANKING
17823436,BANKING
25200253,BANKING
34953092,BANKING
19149865,BANKING
16300459,BANKING
19911786,BANKING
11266906,BANKING
99124477,BANKING
19176318,BANKING
79041971,BANKING
19374660,BANKING
39142536,BANKING
30127072,BANKING
39569771,BANKING
17396388,BANKING
17213671,BANKING
70667011,BANKING
25624652,BANKING
14391434,BANKING
28051330,BANKING
43375498,BANKING
28989677,BANKING
54421668,BANKING
27884470,BANKING
26579709,BANKING
34758680,BANKING
25162378,BANKING
32980197,BANKING
38897568,BANKING
18208580,BANKING
71422121,BANKING
15553584,BANKING
19920687,BANKING
60489316,BANKING
24580361,BANKING
27120528,BANKING
22615491,BANKING
45167858,BANKING
20850529,BANKING
27606527,BANKING
17276884,BANKING
18824120,BANKING
72876163,BANKING
11262933,BANKING
18645964,BANKING
11065180,BANKING
26987539,BANKING
60182829,BANKING
31710562,BANKING
41651672,BANKING
13173522,BANKING
68781345,BANKING
77156708,BANKING
87867370,BANKING
18172739,BANKING
29406313,BANKING
17189156,BANKING
26673507,BANKING
18278509,BANKING
89049979,BANKING
65864767,BANKING
20992320,BANKING
33135102,BANKING
28895997,BANKING
18457785,BANKING
98965485,BANKING
25780596,BANKING
15856762,BANKING
74552449,BANKING
28419927,BANKING
34783330,BANKING
69243180,BANKING
21297521,BANKING
18805506,BANKING
13393401,BANKING
33286293,BANKING
35492909,BANKING
29839396,BANKING
17818707,BANKING
98348532,BANKING
14626780,BANKING
23323001,BANKING
33370664,BANKING
36302399,BANKING
19437318,BANKING
10909673,BANKING
11672279,BANKING
17132168,DIGITAL-MEDIA
25038571,DIGITAL-MEDIA
24574164,DIGITAL-MEDIA
31929166,DIGITAL-MEDIA
14036515,DIGITAL-MEDIA
20330739,DIGITAL-MEDIA
28109594,DIGITAL-MEDIA
80679862,DIGITAL-MEDIA
13328680,DIGITAL-MEDIA
11677012,DIGITAL-MEDIA
58915642,DIGITAL-MEDIA
16893572,DIGITAL-MEDIA
15484097,DIGITAL-MEDIA
11270462,DIGITAL-MEDIA
13837784,DIGITAL-MEDIA
94492380,DIGITAL-MEDIA
20628003,DIGITAL-MEDIA
91539554,DIGITAL-MEDIA
33893326,DIGITAL-MEDIA
16276121,DIGITAL-MEDIA
29002596,DIGITAL-MEDIA
34319869,DIGITAL-MEDIA
18927233,DIGITAL-MEDIA
19444529,DIGITAL-MEDIA
19053815,DIGITAL-MEDIA
14209965,DIGITAL-MEDIA
17432318,DIGITAL-MEDIA
13343786,DIGITAL-MEDIA
12085736,DIGITAL-MEDIA
13503650,DIGITAL-MEDIA
25706337,DIGITAL-MEDIA
16536141,DIGITAL-MEDIA
90685127,DIGITAL-MEDIA
27419236,DIGITAL-MEDIA
31162167,DIGITAL-MEDIA
70196518,DIGITAL-MEDIA
25723793,DIGITAL-MEDIA
24953921,DIGITAL-MEDIA
42156237,DIGITAL-MEDIA
23810469,DIGITAL-MEDIA
14771530,DIGITAL-MEDIA
18525641,DIGITAL-MEDIA
81508860,DIGITAL-MEDIA
20490741,DIGITAL-MEDIA
59011090,DIGITAL-MEDIA
21125113,DIGITAL-MEDIA
18900722,DIGITAL-MEDIA
17584743,DIGITAL-MEDIA
82929064,DIGITAL-MEDIA
18442517,DIGITAL-MEDIA
18501746,DIGITAL-MEDIA
14556869,DIGITAL-MEDIA
14945250,DIGITAL-MEDIA
34583750,DIGITAL-MEDIA
50219114,DIGITAL-MEDIA
26341987,DIGITAL-MEDIA
24658786,DIGITAL-MEDIA
62700506,DIGITAL-MEDIA
11005406,DIGITAL-MEDIA
20210676,DIGITAL-MEDIA
15353911,DIGITAL-MEDIA
39166680,DIGITAL-MEDIA
31909493,DIGITAL-MEDIA
22706174,DIGITAL-MEDIA
18905648,DIGITAL-MEDIA
19861776,DIGITAL-MEDIA
24679149,DIGITAL-MEDIA
40311088,DIGITAL-MEDIA
30999638,DIGITAL-MEDIA
16509761,DIGITAL-MEDIA
91318828,DIGITAL-MEDIA
28609364,DIGITAL-MEDIA
23085604,DIGITAL-MEDIA
14761906,DIGITAL-MEDIA
23864858,DIGITAL-MEDIA
27981289,DIGITAL-MEDIA
30864828,DIGITAL-MEDIA
27080812,DIGITAL-MEDIA
40883703,DIGITAL-MEDIA
27921561,DIGITAL-MEDIA
37739183,DIGITAL-MEDIA
30504149,DIGITAL-MEDIA
73282756,DIGITAL-MEDIA
15226699,DIGITAL-MEDIA
18488289,DIGITAL-MEDIA
18354623,DIGITAL-MEDIA
33542483,DIGITAL-MEDIA
56952849,DIGITAL-MEDIA
22380187,DIGITAL-MEDIA
28679359,DIGITAL-MEDIA
10515955,DIGITAL-MEDIA
25525152,DIGITAL-MEDIA
10005171,DIGITAL-MEDIA
29915354,DIGITAL-MEDIA
17562754,DIGITAL-MEDIA
26160200,DIGITAL-MEDIA
26127853,PUBLIC-RELATIONS
32441790,PUBLIC-RELATIONS
51415089,PUBLIC-RELATIONS
88651471,PUBLIC-RELATIONS
22754014,PUBLIC-RELATIONS
26130673,PUBLIC-RELATIONS
26173524,PUBLIC-RELATIONS
49119887,PUBLIC-RELATIONS
34712719,PUBLIC-RELATIONS
27000192,PUBLIC-RELATIONS
21669215,PUBLIC-RELATIONS
21386255,PUBLIC-RELATIONS
21321598,PUBLIC-RELATIONS
23771896,PUBLIC-RELATIONS
36107065,PUBLIC-RELATIONS
13129275,PUBLIC-RELATIONS
37375999,PUBLIC-RELATIONS
31220062,PUBLIC-RELATIONS
42332765,PUBLIC-RELATIONS
11850315,PUBLIC-RELATIONS
85973397,PUBLIC-RELATIONS
19503224,PUBLIC-RELATIONS
18133495,PUBLIC-RELATIONS
